#Reference labels (rows):1,2,3,4,5;;;;;;;Referenzdaten;
#Produced labels (columns):1,2,3,4,5;;;;;;;1;
3153,26,1,0,0;;;;;;;2;
0,345,0,0,0;;;;;;;3;
0,0,178,22,0;;;;;;;4;
0,0,53,155,0;;;;;;;5;
5,0,107,5,1067;;;;;;;Summe;
